age,marital,balance,loan,contact,y
30,married,1787,no,cellular,no
33,married,4789,yes,cellular,no
35,single,1350,no,cellular,no
30,married,1476,yes,unknown,no
59,married,0,no,unknown,no
35,single,747,no,cellular,no
36,married,307,no,cellular,no
39,married,147,no,cellular,no
41,married,221,no,unknown,no
43,married,-88,yes,cellular,no
39,married,9374,no,unknown,no
43,married,264,no,cellular,no
36,married,1109,no,cellular,no
20,single,502,no,cellular,yes
31,married,360,yes,cellular,no
40,married,194,yes,cellular,no
56,married,4073,no,cellular,no
37,single,2317,no,cellular,no
25,single,-221,no,unknown,no
31,married,132,no,cellular,no
38,divorced,0,no,cellular,no
42,divorced,16,no,cellular,no
44,single,106,no,unknown,no
44,married,93,no,cellular,no
26,married,543,no,cellular,no
41,married,5883,no,cellular,no
55,married,627,no,unknown,no
67,married,696,no,telephone,no
56,married,784,yes,cellular,no
53,married,105,yes,cellular,no
68,divorced,4189,no,telephone,yes
31,married,171,no,cellular,no
59,married,42,no,cellular,no
32,single,2536,no,cellular,yes
49,married,1235,no,cellular,yes
42,divorced,1811,no,unknown,no
78,divorced,229,no,telephone,yes
32,married,2089,no,cellular,yes
33,married,3935,no,cellular,yes
23,single,363,no,unknown,no
38,single,11971,no,unknown,no
36,single,553,no,cellular,no
52,married,1117,no,cellular,no
32,married,396,no,cellular,no
32,single,2204,no,cellular,no
34,single,872,no,unknown,no
55,married,145,no,telephone,no
26,married,0,no,unknown,no
32,single,-849,yes,cellular,no
61,married,4629,no,cellular,yes
45,divorced,844,no,unknown,yes
37,single,228,no,cellular,no
38,single,50,no,cellular,no
34,married,1539,no,cellular,yes
53,married,2231,no,cellular,no
48,married,3064,no,telephone,no
57,married,82,yes,telephone,no
33,single,2155,no,cellular,no
36,single,101,yes,unknown,no
54,divorced,784,yes,unknown,no
41,married,-516,yes,telephone,no
63,married,415,no,cellular,no
48,married,5887,no,cellular,no
48,married,1355,no,cellular,no
56,married,16873,no,cellular,no
51,divorced,203,no,cellular,no
31,married,338,no,cellular,no
29,married,444,no,cellular,no
41,married,0,yes,cellular,no
32,single,360,no,cellular,no
37,married,0,no,cellular,yes
42,divorced,2,no,unknown,no
31,single,6248,no,unknown,no
41,married,412,no,unknown,no
56,married,344,no,unknown,no
54,divorced,3222,no,cellular,no
41,divorced,174,no,cellular,no
40,single,591,yes,cellular,no
50,divorced,388,no,cellular,no
40,married,219,no,cellular,no
27,divorced,451,no,cellular,yes
60,married,5,no,cellular,no
28,single,177,yes,cellular,no
52,married,657,no,telephone,yes
37,married,1315,no,cellular,yes
51,married,1466,no,unknown,no
41,single,879,yes,cellular,no
35,single,293,no,unknown,no
38,married,424,no,cellular,no
34,married,1831,no,unknown,no
39,married,111,no,cellular,no
34,married,455,no,unknown,no
27,single,-195,no,cellular,yes
32,single,3616,no,cellular,no
57,married,14093,no,cellular,no
41,single,1567,no,cellular,no
41,married,5426,no,unknown,no
30,single,261,no,cellular,no
36,divorced,2843,no,cellular,no
31,single,406,no,cellular,yes
36,married,0,no,unknown,no
38,single,493,no,cellular,no
49,married,5996,no,telephone,no
57,single,3777,no,telephone,no
34,single,524,no,unknown,no
32,single,574,no,cellular,no
37,married,427,yes,unknown,no
33,married,483,no,cellular,no
56,married,3391,no,cellular,yes
27,married,0,no,cellular,no
21,single,2488,no,cellular,yes
58,married,1517,no,telephone,no
32,married,217,yes,cellular,no
33,single,22,no,cellular,no
25,single,331,no,telephone,yes
25,single,505,yes,cellular,yes
30,married,1808,no,cellular,no
22,single,4111,yes,cellular,no
39,married,52,no,cellular,no
46,divorced,25,no,unknown,no
31,divorced,1890,no,cellular,no
45,married,419,no,cellular,no
32,married,2693,no,unknown,no
36,married,-231,yes,cellular,no
51,single,-55,no,cellular,no
34,single,462,no,cellular,yes
24,single,119,no,unknown,no
45,single,586,yes,cellular,no
32,single,228,no,telephone,no
77,divorced,4659,no,cellular,yes
41,married,168,no,cellular,no
37,married,0,no,unknown,no
43,married,-715,no,unknown,no
48,married,0,no,cellular,no
27,single,769,no,unknown,no
33,single,0,no,cellular,no
29,single,428,yes,cellular,no
34,single,0,no,cellular,no
52,married,-970,no,cellular,yes
60,married,6313,no,unknown,no
32,divorced,948,no,cellular,no
32,single,0,no,cellular,no
56,divorced,1877,no,unknown,no
31,single,874,no,cellular,no
42,married,323,yes,unknown,no
35,married,106,yes,cellular,no
56,married,1906,yes,unknown,no
48,married,1152,no,cellular,no
46,married,179,no,cellular,no
37,single,391,no,unknown,no
41,married,89,no,unknown,no
36,single,442,yes,cellular,no
45,divorced,-249,yes,unknown,no
55,married,8104,no,cellular,no
39,married,501,no,unknown,no
35,divorced,308,no,cellular,no
55,married,602,no,cellular,yes
55,married,273,no,cellular,no
27,single,50,no,cellular,no
34,married,1641,no,cellular,no
34,married,20,no,unknown,no
25,single,4590,no,unknown,no
41,single,-256,yes,unknown,no
43,married,978,yes,unknown,no
28,single,80,no,cellular,yes
31,single,2104,no,unknown,no
78,married,499,no,telephone,no
45,divorced,1269,no,cellular,no
48,married,310,no,unknown,no
32,single,1143,yes,cellular,no
42,married,2980,no,unknown,no
37,single,37,no,cellular,no
