Date,Open,High,Low,Close,Adj Close,Volume
2002-01-14,38.500000,39.500000,38.062500,38.400002,20.948002,83688
2002-01-15,38.112499,38.724998,37.150002,37.412498,20.409311,47496
2002-01-16,38.049999,38.500000,37.125000,37.700001,20.566145,51624
2002-01-17,36.250000,38.750000,36.250000,38.337502,20.913918,85840
2002-01-18,38.750000,39.974998,38.150002,38.549999,21.029835,78928
2002-01-21,38.025002,38.200001,37.275002,37.700001,20.566145,21928
2002-01-22,37.474998,38.674999,37.474998,37.912498,20.682062,39712
2002-01-23,37.012501,38.187500,36.562500,36.950001,20.157005,30656
2002-01-24,38.000000,38.250000,36.950001,37.162498,20.272924,42248
2002-01-25,36.312500,37.375000,35.500000,36.075001,19.679672,59912
2002-01-28,35.000000,35.500000,33.937500,34.387501,18.759108,53640
2002-01-29,34.987499,35.750000,34.150002,34.650002,18.902304,37352
2002-01-30,34.625000,35.000000,33.375000,33.424999,18.234039,13784
2002-01-31,33.500000,35.125000,33.500000,34.937500,19.059139,23544
2002-02-01,35.500000,35.750000,34.500000,35.000000,19.093235,38352
2002-02-04,34.250000,34.712502,34.012501,34.437500,18.786377,23008
2002-02-05,34.487499,34.775002,33.875000,33.974998,18.534073,10192
2002-02-06,39.349998,39.349998,35.500000,38.250000,20.866180,129800
2002-02-07,37.125000,38.400002,36.000000,36.262501,19.781952,66864
2002-02-08,36.724998,36.987499,35.625000,35.787498,19.522833,23920
2002-02-11,36.500000,38.125000,36.500000,36.924999,20.143364,65120
2002-02-12,38.250000,39.187500,37.000000,37.275002,20.334299,47464
2002-02-13,38.000000,38.474998,35.750000,36.762501,20.054718,51592
2002-02-14,38.587502,38.599998,36.500000,36.575001,19.952431,47136
2002-02-15,36.112499,37.474998,36.112499,36.950001,20.157005,33280
2002-02-18,35.775002,37.500000,35.775002,36.812500,20.081995,22992
2002-02-19,37.625000,40.000000,36.299999,38.200001,20.838905,163760
2002-02-20,39.700001,43.674999,39.012501,41.112499,22.427734,1180584
2002-02-21,42.250000,43.625000,40.750000,41.424999,22.598206,434016
2002-02-22,39.750000,41.750000,39.625000,40.787498,22.250439,217112
2002-02-25,40.500000,41.250000,40.025002,40.212502,21.936766,72552
2002-02-26,41.237499,41.275002,39.762501,40.275002,21.970856,60256
2002-02-27,40.687500,41.250000,38.625000,38.875000,21.207127,75232
2002-02-28,39.212502,40.000000,35.375000,35.950001,19.611477,92992
2002-03-01,36.000000,37.474998,34.575001,36.787498,20.068356,63144
2002-03-04,39.474998,39.474998,36.750000,37.137501,20.259287,45176
2002-03-05,38.750000,39.200001,37.250000,37.450001,20.429758,73640
2002-03-06,38.237499,38.462502,37.000000,37.287498,20.341118,38728
2002-03-07,38.162498,38.174999,37.262501,37.737499,20.586596,55024
2002-03-08,38.125000,39.250000,37.950001,38.950001,21.248037,107416
2002-03-11,39.687500,39.687500,38.000000,38.187500,20.832081,75536
2002-03-12,38.150002,38.150002,37.062500,37.312500,20.354752,50784
2002-03-13,37.037498,38.250000,36.924999,37.812500,20.627510,48376
2002-03-14,40.000000,40.000000,37.062500,38.025002,20.743441,46112
2002-03-15,38.437500,38.437500,37.625000,38.099998,20.784351,32936
2002-03-18,39.500000,45.712502,38.750000,45.712502,24.937138,623984
2002-03-19,47.500000,48.450001,42.537498,42.950001,23.430124,838160
2002-03-20,43.500000,50.250000,43.500000,49.625000,27.071484,3514640
2002-03-21,49.974998,55.337502,48.750000,54.674999,29.826359,6371504
2002-03-22,55.037498,56.924999,51.525002,51.912498,28.319357,5957120
2002-03-25,null,null,null,null,null,null
2002-03-26,51.250000,51.987499,46.299999,46.700001,25.475838,1680528
2002-03-27,47.450001,51.724998,46.924999,51.037498,27.842028,4979808
2002-03-28,null,null,null,null,null,null
2002-03-29,null,null,null,null,null,null
2002-04-01,53.500000,53.724998,50.437500,51.837502,28.278454,2559016
2002-04-02,52.224998,57.974998,51.250000,54.375000,29.662716,4557776
2002-04-03,53.750000,65.250000,53.075001,65.250000,35.595257,9823808
2002-04-04,67.487503,72.625000,66.750000,68.500000,37.368195,8736624
2002-04-05,68.449997,69.449997,65.312500,66.512497,36.283962,5138848
2002-04-08,67.449997,69.349998,64.250000,65.137497,35.533882,4547400
2002-04-09,65.737503,66.500000,62.650002,65.599998,35.786182,3006376
2002-04-10,65.000000,70.650002,65.000000,68.787498,37.525036,4279496
2002-04-11,69.925003,75.349998,68.525002,73.074997,39.863956,5814032
2002-04-12,70.000000,79.849998,70.000000,76.087502,41.507324,7397064
2002-04-15,81.250000,81.250000,71.312500,71.537498,39.025208,2578368
2002-04-16,72.474998,73.937500,70.099998,70.662498,38.547882,2336696
2002-04-17,73.500000,74.974998,71.562500,71.925003,39.236610,1521336
2002-04-18,72.750000,80.199997,70.775002,78.937500,43.062077,3009256
2002-04-19,79.900002,83.562500,74.000000,75.412498,41.139095,8487536
2002-04-22,76.250000,76.937500,72.025002,75.012497,40.920883,3132192
2002-04-23,75.000000,81.099998,74.812500,80.250000,43.778057,4616136
2002-04-24,81.000000,82.224998,78.775002,79.887497,43.580307,2987520
2002-04-25,80.500000,80.500000,75.750000,76.599998,41.786900,2028496
2002-04-26,76.750000,79.599998,74.562500,76.187500,41.561886,2506752
2002-04-29,75.500000,77.000000,72.474998,73.562500,40.129894,2157272
2002-04-30,74.687500,76.912498,74.250000,75.337502,41.098183,2105776
2002-05-01,null,null,null,null,null,null
2002-05-02,76.625000,79.099998,76.224998,78.162498,42.639282,2603784
