"CARRIER","DEP_TIME","DEST","FL_DATE","ORIGIN","Weather","Flight.Status"
"OH",1455,"JFK","01/01/2004","BWI",0,"ontime"
"DH",1640,"JFK","01/01/2004","DCA",0,"ontime"
"DH",1245,"LGA","01/01/2004","IAD",0,"ontime"
"DH",1709,"LGA","01/01/2004","IAD",0,"ontime"
"DH",1035,"LGA","01/01/2004","IAD",0,"ontime"
"DH",839,"JFK","01/01/2004","IAD",0,"ontime"
"DH",1243,"JFK","01/01/2004","IAD",0,"ontime"
"DH",1644,"JFK","01/01/2004","IAD",0,"ontime"
"DH",1710,"JFK","01/01/2004","IAD",0,"ontime"
"DH",2129,"JFK","01/01/2004","IAD",0,"ontime"
"DH",2114,"LGA","01/01/2004","IAD",0,"ontime"
"DL",1458,"JFK","01/01/2004","DCA",0,"ontime"
"DL",932,"LGA","01/01/2004","DCA",0,"ontime"
"DL",1228,"LGA","01/01/2004","DCA",0,"ontime"
"DL",1429,"LGA","01/01/2004","DCA",0,"ontime"
"DL",1728,"LGA","01/01/2004","DCA",0,"ontime"
"DL",2029,"LGA","01/01/2004","DCA",0,"ontime"
"MQ",1525,"JFK","01/01/2004","DCA",0,"ontime"
"MQ",556,"JFK","01/01/2004","DCA",0,"ontime"
"MQ",1822,"JFK","01/01/2004","DCA",0,"ontime"
"MQ",853,"LGA","01/01/2004","DCA",0,"ontime"
"MQ",1254,"LGA","01/01/2004","DCA",0,"ontime"
"MQ",1356,"LGA","01/01/2004","DCA",0,"ontime"
"MQ",1452,"LGA","01/01/2004","DCA",0,"ontime"
"MQ",1853,"LGA","01/01/2004","DCA",0,"ontime"
"UA",841,"LGA","01/01/2004","IAD",0,"ontime"
"US",858,"LGA","01/01/2004","DCA",0,"ontime"
"US",1056,"LGA","01/01/2004","DCA",0,"ontime"
"US",1253,"LGA","01/01/2004","DCA",0,"ontime"
"US",1458,"LGA","01/01/2004","DCA",0,"ontime"
"US",1655,"LGA","01/01/2004","DCA",0,"ontime"
"US",2055,"LGA","01/01/2004","DCA",0,"ontime"
"RU",1452,"EWR","01/01/2004","BWI",0,"ontime"
"RU",1710,"EWR","01/01/2004","BWI",0,"ontime"
"RU",1030,"EWR","01/01/2004","BWI",0,"ontime"
"RU",656,"EWR","01/01/2004","BWI",0,"ontime"
"CO",1256,"EWR","01/01/2004","DCA",0,"ontime"
"CO",1726,"EWR","01/01/2004","DCA",0,"ontime"
"DH",840,"EWR","01/01/2004","IAD",0,"ontime"
"DH",1704,"EWR","01/01/2004","IAD",0,"ontime"
"DH",1245,"EWR","01/01/2004","IAD",0,"ontime"
"DH",2118,"EWR","01/01/2004","IAD",0,"ontime"
"RU",1651,"EWR","01/01/2004","IAD",0,"ontime"
"RU",1850,"EWR","01/01/2004","IAD",0,"ontime"
"RU",1521,"EWR","01/01/2004","DCA",0,"ontime"
"RU",1855,"EWR","01/01/2004","DCA",0,"ontime"
"RU",1357,"EWR","01/01/2004","DCA",0,"ontime"
"RU",1508,"EWR","01/01/2004","IAD",0,"ontime"
"RU",1255,"EWR","01/01/2004","IAD",0,"ontime"
"RU",1625,"EWR","01/01/2004","DCA",0,"ontime"
"OH",1455,"JFK","01/02/2004","BWI",0,"ontime"
